demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
claim [kleɪm] (n.) [anki:play:q:0]	утверждение, заявление, требование [anki:play:a:0]
cute [kjuːt] (adj.) [anki:play:q:0]	изящный, привлекательный [anki:play:a:0]
cheat [ˈtʃiːt] (n.) [anki:play:q:0]	мошеничество, жулик, обманщик [anki:play:a:0]
disappointment [dɪsəˈpɔɪntmənt] (n.) [anki:play:q:0]	разочарование, досада, недовольство [anki:play:a:0]
patience [ˈpeɪʃ(ə)ns] (n.) [anki:play:q:0]	терпение, настойчивость [anki:play:a:0]
convention [kənˈvenʃ(ə)n] (n.) [anki:play:q:0]	собрание, съезд [anki:play:a:0]
virus [ˈvaɪərəs] (n.) [anki:play:q:0]	вирус [anki:play:a:0]
balance [ˈbæləns] (v.) [anki:play:q:0]	уравновешивать, сопоставлять [anki:play:a:0]
buyer [ˈbaɪə(r)] (n.) [anki:play:q:0]	покупатель (дорогих вещей) [anki:play:a:0]
tap [tæp] (n.) [anki:play:q:0]	лёгкий стук, кран [anki:play:a:0]
wander [ˈwɒndə(r)] (v.) [anki:play:q:0]	прохаживаться, прогуливаться [anki:play:a:0]
stream [striːm] (n.) [anki:play:q:0]	поток, струя, ручей [anki:play:a:0]
annoying [əˈnɔɪɪŋ] (adj.) [anki:play:q:0]	раздражающий, досадный, надоедливый [anki:play:a:0]
compete [kəmˈpiːt] (v.) [anki:play:q:0]	состязаться, участвовать в соревновании [anki:play:a:0]
forecast [ˈfɔːkɑːst] (n.) [anki:play:q:0]	прогноз [anki:play:a:0]
strike [straɪk] (v.) [anki:play:q:0]	бить, нападать, поражать, баставать [anki:play:a:0]
award [əˈwɔːd] (n.) [anki:play:q:0]	присуждённая награда, премия или наказание [anki:play:a:0]
opposing [əˈpoʊzɪŋ] (adj.) [anki:play:q:0]	противостоящий [anki:play:a:0]
cap [kæp] (n.) [anki:play:q:0]	кепка, фуражка [anki:play:a:0]
output [ˈaʊtpʊt] (n.) [anki:play:q:0]	продукция, выпуск изделий [anki:play:a:0]
detailed [ˈdiːteɪld] (adj.) [anki:play:q:0]	подробный, детальный [anki:play:a:0]
organ [ˈɔːɡən] (n.) [anki:play:q:0]	орган (телесный и музыкальный) [anki:play:a:0]
dishonestly [dɪsˈɑnəstly] (adv.) [anki:play:q:0]	нечестно, непорядочно, мошеннически [anki:play:a:0]
logical [ˈlɒdʒɪk(ə)l] (adj.) [anki:play:q:0]	логический [anki:play:a:0]
silent [ˈsaɪlənt] (adj.) [anki:play:q:0]	безмолвный, молчащий, немой [anki:play:a:0]
accompany [əˈkʌmpənɪ] (v.) [anki:play:q:0]	сопровождать, аккомпанировать [anki:play:a:0]
dozen [ˈdʌz(ə)n] (n.) [anki:play:q:0]	дюжина [anki:play:a:0]
castle [ˈkɑːs(ə)l] (n.) [anki:play:q:0]	замок, дворец [anki:play:a:0]
suspicion [səˈspɪʃ(ə)n] (n.) [anki:play:q:0]	подозрение [anki:play:a:0]
outdoor [ˈaʊtdɔː(r)] (adj.) [anki:play:q:0]	внешний, наружный [anki:play:a:0]
pepper [ˈpepə(r)] (n.) [anki:play:q:0]	перец [anki:play:a:0]
outline [ˈaʊtlaɪn] (v.) [anki:play:q:0]	очертить, обрисовать [anki:play:a:0]
orange [ˈɒrɪndʒ] (n.) [anki:play:q:0]	апельсин [anki:play:a:0]
princess [prɪnˈses] (n.) [anki:play:q:0]	принцесса [anki:play:a:0]
outside [ˌæʊtˈsaɪd] (prep.) [anki:play:q:0]	вне, за пределами [anki:play:a:0]
express [ɪkˈspres] (adj.) [anki:play:q:0]	ясный, точный, срочный [anki:play:a:0]
overall [ˌoʊvərˈɔl] (adj.) [anki:play:q:0]	полный, общий, от начала до конца [anki:play:a:0]
overall [ˌoʊvərˈɔl] (adv.) [anki:play:q:0]	повсюду, везде, повсеместно [anki:play:a:0]
approach [əˈprəʊtʃ] (n.) [anki:play:q:0]	приближение, наступление [anki:play:a:0]
prospect [ˈprɒspekt] (n.) [anki:play:q:0]	шанс, надежда [anki:play:a:0]
ease [iːz] (v.) [anki:play:q:0]	облегчать, избавлять, ослаблять [anki:play:a:0]
forward [ˈfɔrwərd] (adv.) [anki:play:q:0]	с этого момента, отныне, впредь [anki:play:a:0]
sack [sæk] (n.) [anki:play:q:0]	мешок, пакетик [anki:play:a:0]
dialogue [ˈdaɪəlɒɡ] (n.) [anki:play:q:0]	диалог, разговор, беседа [anki:play:a:0]
palace [ˈpælɪs] (n.) [anki:play:q:0]	дворец [anki:play:a:0]
expert [ˈekˌspərt] (adj.) [anki:play:q:0]	опытный, искусный, квалифицированный [anki:play:a:0]
depth [depθ] (n.) [anki:play:q:0]	глубина, интенсивность [anki:play:a:0]
apparent [əˈpærənt] (adj.) [anki:play:q:0]	очевидный [anki:play:a:0]
partnership [ˈpɑːtnəʃɪp] (n.) [anki:play:q:0]	сотрудничество, компания, товарищество [anki:play:a:0]
tiring [ˈtaɪrɪŋ] (adj.) [anki:play:q:0]	изнурительный, утомительный [anki:play:a:0]
collapse [kəˈlæps] (n.) [anki:play:q:0]	обрушение, крушение, провал [anki:play:a:0]
bet [bet] (v.) [anki:play:q:0]	держать пари, биться об заклад [anki:play:a:0]
resist [rɪˈzɪst] (v.) [anki:play:q:0]	сопротивляться, противостоять [anki:play:a:0]
passing [ˈpæsɪŋ] (adj.) [anki:play:q:0]	мгновенный, мимолётный, преходящий [anki:play:a:0]
level [ˈlevəl] (adj.) [anki:play:q:0]	ровный, на одном уровне [anki:play:a:0]
offensive [əˈfensɪv] (adj.) [anki:play:q:0]	обидный, оскорбительный [anki:play:a:0]
peak [piːk] (n.) [anki:play:q:0]	пик (значения или горы), гребень (волны) [anki:play:a:0]
native [ˈneɪtɪv] (adj.) [anki:play:q:0]	родной, прирожденный [anki:play:a:0]
outer [ˈaʊtə(r)] (adj.) [anki:play:q:0]	внешний, наружный, отдаленный [anki:play:a:0]
delay [dɪˈleɪ] (n.) [anki:play:q:0]	задержка, простой [anki:play:a:0]
defense [dɪˈfens] (n.) [anki:play:q:0]	защита, оборона [anki:play:a:0]
performer [pəˈfɔːmə(r)] (n.) [anki:play:q:0]	исполнитель, актер [anki:play:a:0]
capture [kæptʃə(r)] (v.) [anki:play:q:0]	захватывать, завоевывать [anki:play:a:0]
accurately [ˈækjərətli] (adv.) [anki:play:q:0]	точно, безошибочно, аккуратно [anki:play:a:0]
personally [ˈpəːsənəlɪ] (adv.) [anki:play:q:0]	лично, персонально [anki:play:a:0]
maintain [meɪnˈteɪn] (v.) [anki:play:q:0]	поддерживать, обслуживать [anki:play:a:0]
traditional [trəˈdɪʃən(ə)l] (adj.) [anki:play:q:0]	традиционный [anki:play:a:0]
draft [drɑːft] (v.) [anki:play:q:0]	составить проект, делать эскиз [anki:play:a:0]
blank [blæŋk] (n.) [anki:play:q:0]	пустое место, бланк [anki:play:a:0]
photography [fəˈtɑgrəfiː] (n.) [anki:play:q:0]	фотография, съемка [anki:play:a:0]
continuously [kənˈtɪnjuːəsli] (adv.) [anki:play:q:0]	безперебойно, непрерывно [anki:play:a:0]
employee [emplɔɪˈiː] (n.) [anki:play:q:0]	служащий, работающий по найму [anki:play:a:0]
blond [blɒnd] (adj.) [anki:play:q:0]	блондин [anki:play:a:0]
landscape [ˈlænˌskeɪp] (n.) [anki:play:q:0]	пейзаж, ланшафт [anki:play:a:0]
assistant [əˈsɪst(ə)nt] (n.) [anki:play:q:0]	помощник [anki:play:a:0]
qualified [ˈkwɒlɪfaɪ] (adj.) [anki:play:q:0]	компетентный, сведущий [anki:play:a:0]
willingness [ˈwɪlɪŋnɪs] (n.) [anki:play:q:0]	готовность [anki:play:a:0]
current [ˈkʌrənt] (n.) [anki:play:q:0]	струя, поток, эл.ток [anki:play:a:0]
convert [ˈkɒnvəːt] (v.) [anki:play:q:0]	превращать, преводить, обращать (в веру) [anki:play:a:0]
fund [fʌnd] (v.) [anki:play:q:0]	финансировать, делать запас, фундировать [anki:play:a:0]
initiative [ɪˈnɪʃətɪv] (n.) [anki:play:q:0]	инициатива, первый шаг, почин [anki:play:a:0]
producer [prəˈdjuːsə(r)] (n.) [anki:play:q:0]	изготовитель, поставщик, производитель, продюсер [anki:play:a:0]
double [ˈdʌb(ə)l] (v.) [anki:play:q:0]	удваивать [anki:play:a:0]
unlike [ʌnˈlaɪk] (adj.) [anki:play:q:0]	разный, непохожий [anki:play:a:0]
wounded [ˈwuːndɪd] (adj.) [anki:play:q:0]	раненный [anki:play:a:0]
plenty [ˈplentiː] (n.) [anki:play:q:0]	(из)обилие, достаток [anki:play:a:0]
plot [plɒt] (v.) [anki:play:q:0]	замышлять, составлять заговор [anki:play:a:0]
breed [briːd] (v.) [anki:play:q:0]	размножаться, плодиться [anki:play:a:0]
illustrate [ˈɪləstreɪt] (v.) [anki:play:q:0]	иллюстировать [anki:play:a:0]
mineral [ˈmɪnər(ə)l] (adj.) [anki:play:q:0]	минеральный [anki:play:a:0]
engage [ɪnˈɡeɪdʒ] (v.) [anki:play:q:0]	привлекать, увлекать, занимать [anki:play:a:0]
gradual [ˈɡrædjʊəl] (adj.) [anki:play:q:0]	постепенный, последовательный [anki:play:a:0]
pop [pɒp] (n.) [anki:play:q:0]	хлопок, шлепок [anki:play:a:0]
occupied [ˈɑkjəˌpaɪd] (adj.) [anki:play:q:0]	занятый, снятый [anki:play:a:0]
privately [ˈpraɪvitlɪ] (adv.) [anki:play:q:0]	неофициально, частным образом [anki:play:a:0]
pose [pəʊz] (v.) [anki:play:q:0]	ставить, позировать [anki:play:a:0]
expected [ɪkˈspektid] (adj.) [anki:play:q:0]	будущий, ожидаемый [anki:play:a:0]
mess [ˈmes] (v.) [anki:play:q:0]	создавать безпорядок, пачкать, портить [anki:play:a:0]
motor [ˈməʊtə(r)] (n.) [anki:play:q:0]	двигатель [anki:play:a:0]
post [ˈpoʊst] (v.) [anki:play:q:0]	сообщать, объявлять, расклеивать [anki:play:a:0]
potential [pəˈtenʃ(ə)l] (adj.) [anki:play:q:0]	потенциальный, возможный [anki:play:a:0]
potential [pəˈtenʃ(ə)l] (n.) [anki:play:q:0]	потенциал [anki:play:a:0]
poverty [ˈpɒvətɪ] (n.) [anki:play:q:0]	бедность, нищета, нужда [anki:play:a:0]
alternative [ɔːlˈtəːnətɪv] (n.) [anki:play:q:0]	альтернатива, выбор [anki:play:a:0]
overcome [ˌoʊvərˈkəm] (v.) [anki:play:q:0]	превозмочь, победить [anki:play:a:0]
praise [preɪz] (n.) [anki:play:q:0]	хвала, восхваление [anki:play:a:0]
considerably [kənˈsɪdərəb(ə)li] (adv.) [anki:play:q:0]	значительно, много [anki:play:a:0]
transfer [ˈtrænsfəː(r)] (v.) [anki:play:q:0]	переносить, перемещать, пересаживаться [anki:play:a:0]
prepared [prɪˈperd] (adj.) [anki:play:q:0]	готовый, подготовленный [anki:play:a:0]
intense [ɪnˈtens] (adj.) [anki:play:q:0]	интенсивный, крепкий, сильный [anki:play:a:0]
preserve [prɪˈzəːv] (v.) [anki:play:q:0]	сохранять, сберегать [anki:play:a:0]
polish [ˈpɒlɪʃ] (v.) [anki:play:q:0]	наводить лоск, чистить [anki:play:a:0]
finance [ˈfaɪnæns] (n.) [anki:play:q:0]	финансы, доходы, деньги [anki:play:a:0]
demonstrate [ˈdemənstreɪt] (v.) [anki:play:q:0]	демонстрировать, показывать [anki:play:a:0]
requirement [rɪˈkwaɪəmənt] (n.) [anki:play:q:0]	требование, необходимое условие [anki:play:a:0]
butt [bʌt] (n.) [anki:play:q:0]	попа, окурок [anki:play:a:0]
plus [plʌs] (adj.) [anki:play:q:0]	положительный, добавочный [anki:play:a:0]
previously [ˈpriːvɪəslɪ] (adv.) [anki:play:q:0]	заблаговременно, заранее [anki:play:a:0]
pride [praɪd] (n.) [anki:play:q:0]	гордость, чувство гордости [anki:play:a:0]
chip [tʃɪp] (n.) [anki:play:q:0]	осколок, щепка, скол, зазубрина [anki:play:a:0]
primarily [ˈpraɪmərɪlɪ] (adv.) [anki:play:q:0]	первоначально, в основном [anki:play:a:0]
shocking [ˈʃɒkɪŋ] (adj.) [anki:play:q:0]	потрясающий, ужасающий [anki:play:a:0]
make [ˈmeɪk] (n.) [anki:play:q:0]	изготовление, марка [anki:play:a:0]
principal [ˈprɪnspəl] (n.) [anki:play:q:0]	глава, начальник, ректор (юрд.) [anki:play:a:0]
moving [ˈmuːvɪŋ] (adj.) [anki:play:q:0]	волнующий, трогательный [anki:play:a:0]
print [ˈprɪnt] (n.) [anki:play:q:0]	оттиск, отпечаток, след [anki:play:a:0]
prior [ˈpraɪə(r)] (adj.) [anki:play:q:0]	прежний, бывший, предшествующий [anki:play:a:0]
family [ˈfæmliː] (adj.) [anki:play:q:0]	фамильный, семейный [anki:play:a:0]
amaze [əˈmeɪz] (v.) [anki:play:q:0]	изумлять, поражать, удивлять [anki:play:a:0]
presentation [prezənˈteɪʃ(ə)n] (n.) [anki:play:q:0]	презентация, представление [anki:play:a:0]
film [ˈfɪlm] (v.) [anki:play:q:0]	производить киносъёмку [anki:play:a:0]
proceed [prəˈsiːd] (v.) [anki:play:q:0]	продолжать [anki:play:a:0]
contemporary [kənˈtempərərɪ] (adj.) [anki:play:q:0]	современный, современник [anki:play:a:0]
process [ˈprəʊses] (v.) [anki:play:q:0]	обрабатывать, оформлять [anki:play:a:0]
mate [meɪt] (n.) [anki:play:q:0]	напарник, сосед по комнате [anki:play:a:0]
geography [dʒɪˈɒɡrəfɪ] (n.) [anki:play:q:0]	география [anki:play:a:0]
figure [ˈfɪgjər] (v.) [anki:play:q:0]	считать, полагать [anki:play:a:0]
debate [dɪˈbeɪt] (v.) [anki:play:q:0]	обсуждать, дискутировать, спорить [anki:play:a:0]
publishing [ˈpʌblɪʃɪŋ] (n.) [anki:play:q:0]	издательский [anki:play:a:0]
project [ˈprɑˌdʒekt] (v.) [anki:play:q:0]	проектировать, отбрасывать (тень) [anki:play:a:0]
promotion [prəˈməʊʃ(ə)n] (n.) [anki:play:q:0]	продвижение по службе, повышение, рекламная компания [anki:play:a:0]
prompt [prɒmpt] (adj.) [anki:play:q:0]	быстрый, проворный [anki:play:a:0]
review [rɪˈvjuː] (v.) [anki:play:q:0]	обозревать, осматривать [anki:play:a:0]
promptly [ˈprɑm(p)tliː] (adv.) [anki:play:q:0]	быстро, сразу, прямо [anki:play:a:0]
pronounce [prəˈnaʊns] (v.) [anki:play:q:0]	произносить [anki:play:a:0]
uncontrolled [ˌʌnkənˈtrəʊld] (adj.) [anki:play:q:0]	неуправляемый, бесконтрольный [anki:play:a:0]
proportion [prəˈpɔːʃ(ə)n] (n.) [anki:play:q:0]	пропорция [anki:play:a:0]
proposal [prəˈpəʊz(ə)l] (n.) [anki:play:q:0]	предложение, план [anki:play:a:0]
sweet [ˈswiːt] (n.) [anki:play:q:0]	конфета, карамель, леденец [anki:play:a:0]
approximate [əˈprɒksɪmət] (adj.) [anki:play:q:0]	приблизительный, близкий [anki:play:a:0]
protest [ˈprəʊtest] (v.) [anki:play:q:0]	протестовать, возражать [anki:play:a:0]
concern [kənˈsəːn] (v.) [anki:play:q:0]	описывать, затрагивать, волновать [anki:play:a:0]
display [dɪˈspleɪ] (n.) [anki:play:q:0]	показ, выставка, дисплей [anki:play:a:0]
wrongly [ˈrɒŋlɪ] (adv.) [anki:play:q:0]	незаслуженно [anki:play:a:0]
provided [prəˈvaɪdɪd] (conj.) [anki:play:q:0]	при условии, если только [anki:play:a:0]
panel [ˈpæn(ə)l] (n.) [anki:play:q:0]	комиссия, панель, филенка [anki:play:a:0]
publicity [pʌbˈlɪsɪtɪ] (n.) [anki:play:q:0]	гласность, публичность, реклама [anki:play:a:0]
progress [ˈprɑgrəs] (v.) [anki:play:q:0]	развиваться, совершенствоваться [anki:play:a:0]
punch [pʌntʃ] (v.) [anki:play:q:0]	ударять кулаком, пронзать [anki:play:a:0]
budget [ˈbʌdʒɪt] (n.) [anki:play:q:0]	бюджет, смета, запас [anki:play:a:0]
rival [ˈraɪv(ə)l] (adj.) [anki:play:q:0]	соперничающий, конкурирующий [anki:play:a:0]
foundation [faʊnˈdeɪʃ(ə)n] (n.) [anki:play:q:0]	фундамент, основание [anki:play:a:0]
pursue [pəˈsjuː] (v.) [anki:play:q:0]	гнаться, преследовать, добиваться [anki:play:a:0]
finance [ˈfaɪnæns] (v.) [anki:play:q:0]	финансировать, вкладывать средства [anki:play:a:0]
complicate [ˈkɒmplɪkeɪt] (v.) [anki:play:q:0]	затруднять, осложнять, усложнять [anki:play:a:0]
plus [plʌs] (n.) [anki:play:q:0]	положительная величина [anki:play:a:0]
quote [kwəʊt] (v.) [anki:play:q:0]	цитировать, ссылаться [anki:play:a:0]
following [ˈfɒləʊwɪŋ] (n.) [anki:play:q:0]	последователи, сторонники [anki:play:a:0]
district [ˈdɪstrɪkt] (n.) [anki:play:q:0]	район, область, округ [anki:play:a:0]
mineral [ˈmɪnər(ə)l] (n.) [anki:play:q:0]	минерал [anki:play:a:0]
i.e. [ˌaɪ ˈi] (lat.) [anki:play:q:0]	"(""id est"") то есть [anki:play:a:0]"
range [reɪndʒ] (n.) [anki:play:q:0]	сфера, диапазон, серия, линия [anki:play:a:0]
junior [ˈdʒuːnɪə(r)] (n.) [anki:play:q:0]	младший, более молодой, юниор [anki:play:a:0]
statue [ˈstætjuː] (n.) [anki:play:q:0]	статуя [anki:play:a:0]
raw [rɔː] (adj.) [anki:play:q:0]	сырой, необработанный [anki:play:a:0]
homework [ˈhəʊmwəːk] (n.) [anki:play:q:0]	домашняя работа, домашнее задание [anki:play:a:0]
grave [ɡreɪv] (adj.) [anki:play:q:0]	серьезный, веский, мрачный [anki:play:a:0]
skillfully [ˈskɪlfʊlɪ] (adv.) [anki:play:q:0]	мастерски [anki:play:a:0]
rear [rɪə(r)] (adj.) [anki:play:q:0]	задний, тыльный [anki:play:a:0]
rear [rɪə(r)] (n.) [anki:play:q:0]	задняя сторона, тыл, ягодицы [anki:play:a:0]
annual [ˈænjʊəl] (adj.) [anki:play:q:0]	ежегодный, годичный, годовой [anki:play:a:0]
editor [ˈedɪtə(r)] (n.) [anki:play:q:0]	редактор [anki:play:a:0]
recognition [rekəɡˈnɪʃ(ə)n] (n.) [anki:play:q:0]	узнавание, знак узнавания [anki:play:a:0]
downward [ˈdæʊnwərd] (adj.) [anki:play:q:0]	спускающийся, ухудшающийся [anki:play:a:0]
recording [rɪˈkɔːdɪŋ] (n.) [anki:play:q:0]	звуко-видео запись [anki:play:a:0]
stroke [strəʊk] (n.) [anki:play:q:0]	удар, такт, паралич [anki:play:a:0]
reference [ˈrefərəns] (n.) [anki:play:q:0]	ссылка, упоминание [anki:play:a:0]
reform [rɪˈfɔːm] (v.) [anki:play:q:0]	реформировать, улучшать, изменять [anki:play:a:0]
refusal [rɪˈfjuːz(ə)l] (n.) [anki:play:q:0]	отказ, непринятие [anki:play:a:0]
confirm [kənˈfəːm] (v.) [anki:play:q:0]	подтверждать, подкреплять [anki:play:a:0]
aspect [ˈæspekt] (n.) [anki:play:q:0]	аспект, подход, сторона [anki:play:a:0]
beak [biːk] (n.) [anki:play:q:0]	клюв [anki:play:a:0]
regional [ˈriːdʒənəl] (adj.) [anki:play:q:0]	региональный, районный [anki:play:a:0]
regulation [reɡjʊˈleɪʃ(ə)n] (n.) [anki:play:q:0]	правило, регламент [anki:play:a:0]
abandoned [əˈbænd(ə)nd] (adj.) [anki:play:q:0]	заброшенный, покинутый [anki:play:a:0]
baggage [ˈbæɡɪdʒ] (n.) [anki:play:q:0]	багаж (амер.) [anki:play:a:0]
worry [ˈwəriː] (v.) [anki:play:q:0]	беспокоиться, волноваться [anki:play:a:0]
yawn [jɔːn] (v.) [anki:play:q:0]	зевать [anki:play:a:0]
July [dʒuːˈlaɪ] (n.) [anki:play:q:0]	июль [anki:play:a:0]
remaining [rɪˈmeɪnɪŋ] (adj.) [anki:play:q:0]	остающийся, нераспроданный [anki:play:a:0]
export [ˈekspɔːt] (n.) [anki:play:q:0]	экспорт, вывоз [anki:play:a:0]
remote [rɪˈməʊt] (adj.) [anki:play:q:0]	отдаленный, дальний, удаленный [anki:play:a:0]
constantly [ˈkɒnst(ə)ntlɪ] (adv.) [anki:play:q:0]	непрерывно, постоянно [anki:play:a:0]
civil [ˈsɪv(ə)l] (adj.) [anki:play:q:0]	гражданский, воспитанный [anki:play:a:0]
inevitably [ɪnˈevɪtəb(ə)li] (adv.) [anki:play:q:0]	неизбежно, неминуемо [anki:play:a:0]
creation [kriːˈeɪʃ(ə)n] (n.) [anki:play:q:0]	формирование, создание [anki:play:a:0]
mass [mæs] (n.) [anki:play:q:0]	масса, месса [anki:play:a:0]
absorb [əbˈzɔːb] (v.) [anki:play:q:0]	всасывать, впитывать [anki:play:a:0]
representative [reprɪˈzentətɪv] (n.) [anki:play:q:0]	образец, типичный представитель [anki:play:a:0]
representative [reprɪˈzentətɪv] (adj.) [anki:play:q:0]	отображающий, представительный [anki:play:a:0]
reputation [repjʊˈteɪʃ(ə)n] (n.) [anki:play:q:0]	репутация, слава, доброе имя [anki:play:a:0]
spicy [ˈspaɪsɪ] (adj.) [anki:play:q:0]	острый, пикантный [anki:play:a:0]
reserve [rɪˈzəːv] (n.) [anki:play:q:0]	запас, резерв, заповедник, резервация [anki:play:a:0]
resident [ˈrezɪd(ə)nt] (n.) [anki:play:q:0]	постоянно проживающее лицо [anki:play:a:0]
resistance [rɪˈzɪst(ə)ns] (n.) [anki:play:q:0]	сопротивление, отпор [anki:play:a:0]
resort [rɪˈzɔːt] (n.) [anki:play:q:0]	курорт [anki:play:a:0]
absence [ˈæbs(ə)ns] (n.) [anki:play:q:0]	отсутствие, недостаток [anki:play:a:0]
respond [rɪˈspɒnd] (v.) [anki:play:q:0]	отвечать [anki:play:a:0]
restrict [rɪˈstrɪkt] (v.) [anki:play:q:0]	ограничивать [anki:play:a:0]
restricted [rɪˈstrɪktid] (adj.) [anki:play:q:0]	ограниченный, узкий [anki:play:a:0]
squeeze [skwiːz] (n.) [anki:play:q:0]	сжатие, пресование [anki:play:a:0]
retire [rɪˈtaɪə(r)] (v.) [anki:play:q:0]	уходить в отставку, на пенсию [anki:play:a:0]
menu [ˈmenjuː] (n.) [anki:play:q:0]	меню [anki:play:a:0]
adjust [əˈdʒʌst] (v.) [anki:play:q:0]	регулировать, приводить в порядок [anki:play:a:0]
dare [deə(r)] (v.) [anki:play:q:0]	отваживаться, осмеливаться, сметь [anki:play:a:0]
prompt [prɒmpt] (v.) [anki:play:q:0]	побуждать, подталкивать [anki:play:a:0]
revision [rɪˈvɪʒ(ə)n] (n.) [anki:play:q:0]	ревизия, инспекция, пересмотр [anki:play:a:0]
revolution [revəˈluːʃ(ə)n] (n.) [anki:play:q:0]	переворот, восстание [anki:play:a:0]
adult [əˈdəlt] (adj.) [anki:play:q:0]	взрослый, зрелый [anki:play:a:0]
content [ˈkɒntent] (n.) [anki:play:q:0]	содержимое, удовлетворенность [anki:play:a:0]
awful [ˈɔːfʊl] (adj.) [anki:play:q:0]	страшный, ужасный, отвратительный [anki:play:a:0]
widely [ˈwaɪdlɪ] (adv.) [anki:play:q:0]	широко, в различных местах [anki:play:a:0]
rightly [ˈraɪtlɪ] (adv.) [anki:play:q:0]	правильно, верно, точно [anki:play:a:0]
freely [ˈfriːli] (adv.) [anki:play:q:0]	свободно, легко, вольно [anki:play:a:0]
candidate [ˈkændɪdət] (n.) [anki:play:q:0]	кандидат, соискатель [anki:play:a:0]
purchase [ˈpəːtʃɪs] (n.) [anki:play:q:0]	покупка, закупка, купля [anki:play:a:0]
dramatically [drəˈmætɪk(ə)li] (adv.) [anki:play:q:0]	драматично, ярко, впечатляюще [anki:play:a:0]
ill [il] (adj.) [anki:play:q:0]	больной, нездоровый [anki:play:a:0]
wander [ˈwɒndə(r)] (n.) [anki:play:q:0]	странствие, путешествие [anki:play:a:0]
vast [vɑːst] (adj.) [anki:play:q:0]	огромный, обширный [anki:play:a:0]
contribution [kɒntrɪˈbjuːʃ(ə)n] (n.) [anki:play:q:0]	взнос, пожертвование [anki:play:a:0]
drum [drʌm] (n.) [anki:play:q:0]	барабан [anki:play:a:0]
rose [rəʊz] (n.) [anki:play:q:0]	роза [anki:play:a:0]
reproduce [riːprəˈdjuːs] (v.) [anki:play:q:0]	рождать, воспроизводить [anki:play:a:0]
roughly [ˈrəfliː] (adv.) [anki:play:q:0]	приблизительно, грубо, резко [anki:play:a:0]
folding [ˈfəʊldɪŋ] (adj.) [anki:play:q:0]	складной, створчатый, откидной [anki:play:a:0]
routine [ruːˈtiːn] (adj.) [anki:play:q:0]	определенный, типовой [anki:play:a:0]
noticeable [ˈnəʊtɪsəb(ə)l] (adj.) [anki:play:q:0]	видный, заметный, приметный [anki:play:a:0]
customs [ˈkʌstəm] (n.) [anki:play:q:0]	таможня [anki:play:a:0]
irritating [ˈɪrɪteɪtıŋ] (adj.) [anki:play:q:0]	раздражающий, вызывающий раздражение [anki:play:a:0]
remarkably [rɪˈmɑːkəb(ə)lɪ] (adv.) [anki:play:q:0]	замечательно, удивительно [anki:play:a:0]
headache [ˈhedeɪk] (n.) [anki:play:q:0]	головная боль [anki:play:a:0]
rumor [ˈruːmə(r)] (n.) [anki:play:q:0]	молва, слух [anki:play:a:0]
black [ˈblæk] (n.) [anki:play:q:0]	черный [anki:play:a:0]
running [ˈrənɪŋ] (n.) [anki:play:q:0]	беготня, бег [anki:play:a:0]
creative [kriːˈeɪtɪv] (adj.) [anki:play:q:0]	созидательный, творческий [anki:play:a:0]
rural [ˈrʊər(ə)l] (adj.) [anki:play:q:0]	деревенский, сельский [anki:play:a:0]
rush [ˈrəʃ] (n.) [anki:play:q:0]	бросок, натиск, спешка [anki:play:a:0]
broad [brɔːd] (adj.) [anki:play:q:0]	широкий, обширный [anki:play:a:0]
consult [kənˈsʌlt] (v.) [anki:play:q:0]	советоваться, обсудить [anki:play:a:0]
graduate [ˈɡrædjʊət] (n.) [anki:play:q:0]	выпускник [anki:play:a:0]
origin [ˈɒrɪdʒɪn] (n.) [anki:play:q:0]	начало, источник, происхождение [anki:play:a:0]
advance [ədˈvɑːns] (v.) [anki:play:q:0]	двигать вперёд, продвигать [anki:play:a:0]
satisfy [ˈsætɪsfaɪ] (v.) [anki:play:q:0]	удовлетворять [anki:play:a:0]
unwillingly [ʌnˈwɪlɪŋlɪ] (adv.) [anki:play:q:0]	неохотно, против желания [anki:play:a:0]
Saturday [ˈsætədeɪ] (n.) [anki:play:q:0]	суббота [anki:play:a:0]
ensure [ɪnˈʃʊə(r)] (v.) [anki:play:q:0]	гарантировать, обеспечивать [anki:play:a:0]
interpretation [ɪntəːprɪˈteɪʃ(ə)n] (n.) [anki:play:q:0]	толкование, анализ [anki:play:a:0]
scare [ˈsker] (n.) [anki:play:q:0]	испуг, паника [anki:play:a:0]
claim [kleɪm] (v.) [anki:play:q:0]	заявлять, требовать, утверждать [anki:play:a:0]
committee [kəˈmɪtɪ] (n.) [anki:play:q:0]	комитет, комиссия [anki:play:a:0]
calm [ˈkɑm] (n.) [anki:play:q:0]	спокойствие, выдержанность [anki:play:a:0]
decorative [ˈdekərətɪv] (adj.) [anki:play:q:0]	декоративный [anki:play:a:0]
classroom [klɑːsrus] (n.) [anki:play:q:0]	класс, аудитория [anki:play:a:0]
scream [skriːm] (v.) [anki:play:q:0]	пронзительно кричать, вопить, визжать [anki:play:a:0]
rapidly [ˈræpɪdli] (adv.) [anki:play:q:0]	быстро [anki:play:a:0]
screw [skruː] (v.) [anki:play:q:0]	прикручивать, привинчивать [anki:play:a:0]
crown [kraʊn] (n.) [anki:play:q:0]	корона [anki:play:a:0]
